id,argument,label,set
0,"""marriage"" isn't keeping up with the times.  abandon the old thinking and bring something that incorporates all unions - not just those with a man and woman.",0.8461646140000001,train
1,.a multi-party system would be too confusing and getting a consensus from the general public would be difficult.,0.89127054,train
2,`people reach their limit when it comes to their quality of life and should be able to end their suffering.  this can be done with little or no suffering  by assistance and the person is able to say good bye.,0.730395151,train
3,"100% agree, should they do that, it would be a good thing",0.236685682,train
4,A ban on naturopathy creates a cohesive front between scientists and the government that can combat the anti-science rhetoric of naturopathic industries.,0.753805285,train
5,"A ban would be disasterous for the surrogate mothers. Surrogacy will happenn anyway, because the need for it exists, but there will be no health and legal standards for the proccess.",1.0,train
6,"A ban would be inffective, people who want a baby so badly, will find a way to go through with it. Either illegaly or in some foresaken country which doesn't ban it.",0.467092243,train
7,a ban would only increase the already concerning trend to go to dangerous surgeons abroad,0.981811806,train
8,"A basic principle of punishment is that it should be proportional to the crime, and therefore capital punishment is the only legitimate response to a crime such as first degree murder.",1.0,train
9,"a birth defect or a disfiguring injury can highly impact someone's self esteem, with parental permission minors should have the opportunity to correct this.",0.951107043,train
10,"a child cannot just walk into a cosmetic surgeons and get unnecessary surgery, parental consent and medical regulations are in place to ensure this is only conducted safely and on worthy cases of deformity",0.901065136,train
11,a child is a gift and should be cherished for whatever sex they are,0.478142994,train
12,"a child is still growing, physically and mentally, cosmetic surgery should not be considered until they are an adult and able to make these decisions",1.0,train
13,a child's body is still developing and the faults that a child sees in themselves may resolve when they're an adult,1.0,train
14,a child's value should not be based upon their sex.  they are human no matter what.,0.65275696,train
15,a city is the best place for people to have what they need near by,0.683461552,train
16,"A collectivist culture cultivates desirable values such as being kind, generous, and attentive to the needs of others.",0.8854765529999999,train
17,a college degree is no longer a guarantee that you will have a job nor is it even required for decent careers anymore. it is a waste of money as most degrees are becoming obsolete.,0.82029628,train
18,"a college education is too expensive for most people to afford.  yet, it is almost a requirement to get a great job.  by helping to pay student loans we are also helping our economy and providing better jobs.",0.88595647,train
19,a company can pay an executive anything it wants.  if the person is a great value to his company his salary no matter how high is worth it.,0.910804935,train
20,a company can pay higher to their employees if executive compensation is limited,0.5434115589999999,train
21,a company has the right to determine how much executive compensation that they can pay out.,0.629429628,train
22,a company should be able to decide on their own how much they want to pay any of their employees,0.881836684,train
23,a company should be able to pay whatever they need to to attract the right talent. they will only pay what the market determines the person is worth.,0.798560865,train
24,a compulsory vote we make everyone contribute their opinion.,0.639372799,train
25,a consumer doesn't know what's really in natural remedies since there is no regulation,1.0,train
26,a cosmetic procedure may be necessary for a horribly scarred child.,0.808176407,train
27,A country is entitled to develop any weapon that will help it defend itself against an enemy.,0.693320965,train
28,a country should have the right to defend itself in whatever way it sees fit even if they do not intend to use nuclear weapons.,0.867678521,train
29,A country with a diverse population is better represented by a multi-party system.,0.867024447,train
30,"A couple doesn't have to bind themselves legally to one another, by marrying, to prove their love.",0.729708699,train
31,a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,0.830767585,train
32,"a democratic and free society is said to respect bodily autonomy, therefore we should have the right to do what we want with our organs, including using them in a legal organ trade",1.0,train
33,a disadvantage of naturopathy is when natural medicines are taken to treat medical conditions without seeking qualified medical help,0.7864554290000001,train
34,a father figure that takes an active role in their child's life has a positive effect on the child,0.572805817,train
35,"a father is entitled to sacrifice his work for time with his new-born, but this is a lifestyle choice and should be self-funded, not financially supported by the tax payer.",1.0,train
36,a few loud mouths should not be able to change years of law,0.402225161,train
37,"A flag is just a symbol and carries no real meaning in and of itself. Therefore, burning it is not a big deal.",0.8666729059999999,train
38,a flag is mass produced and has no added commercial value other than the material it is made with,0.603874216,train
39,"a flag is no more than a symbol, if flag burning were banned you would have to ban the burning of football shirts, etc",1.0,train
40,a flag is only a piece of cloth and there is no prohibition against burning cloth,0.610950479,train
41,a flag is only a symbol and permitting burning it as an expression of anger is free speech,0.83781112,train
42,a flag is only really a peace of cloth and doesn't actually hurt anybody.,0.50805724,train
43,a flag symbolizes a country and by burning it you are showing disrespect,0.958760476,train
44,a gender neutral language should be adopted so that conversations and language would be fair for everyone.,1.0,train
45,a gender neutral language would improve gender equality,0.723600547,train
46,"a gender-neutral language is what we should all learn to speak, it will help  dealing with racism and other social issues",0.696053102,train
47,a gender-neutral language would take hundreds of years to adopt to and therefore should be abandoned,0.7174209709999999,train
48,A good portion of the telemarketers these days are not even human and this is illegal and Immoral,0.590752965,train
49,A government-funded Wikipedia would become a government-controlled Wikipedia.,1.0,train
50,a group can function more effectively and with greater impact when working together as opposed to individually,0.649438545,train
51,a group of collective thoughts in line with one stance makes it greater.,0.5159299829999999,train
52,a high turnout is important for a proper democratic mandate and the functioning of democracy,1.0,train
53,a human being at death can help others to live and through organ trade help their families live,0.7766031640000001,train
54,a human rights activist spoke out that people should not be racially profiled because they belonged to a certain group or have different colors.,0.467666058,train
55,a judge allowing their own personal feelings to become involved in a ruling cause said ruling to be unfair.,0.886716086,train
56,a judge is a credible voted in individual whose decisions should be trusted.,0.7965148120000001,train
57,"a judge is merely supposed to interpret whether legal issues are constitutional -- judicial activism is effectively legislating from the bench, which exceeds what the judicial branch is allowed to do.",0.7332591279999999,train
58,a judge is not god and therefore should not make all of the decisions.,0.645038339,train
59,a judge is suppose to be held in a high regard and should abide by the laws they took an oath to uphold without bias.,0.850495682,train
60,"a judge is suppose to uphold the rule of law, not alter it with their own opinions/views/beliefs.",1.0,train
61,a judge should be allowed to determine the constitutionality of an argument by using their own beliefs in part.,0.909260166,train
62,a judge shouldnt be able to show their personal views.,0.6188847160000001,train
63,a judges opinion should not be relevant in a decision that they make as a judge,0.896425919,train
64,a judge's opinion should not take precedent over official laws.,1.0,train
65,a judge's role is not to flaunt laws and override guidance but to enforce it. judicial activism is a step too far,1.0,train
66,a jusge should be allowed to look at a crime and the situation the person was subjected to in regards to their acts as the punishment should be determined in regards to an individual situation.,0.702201807,train
67,a jusge should be allowed to make decisions based on certain situations and circumstances and make judgement using the information and issues presented rather than a strict generalized standard.,0.762386062,train
68,a jusge should follow the law rather than opnion as they are regarded as the highest power to judicate the laws they honor to serve and uphold.,0.9000733,train
69,a key advantage of a multi-party system is that voters have a choice of which political party they can choose to elect.,0.977855246,train
70,a lack of confidence due to appearance can have a crippling impact on poeple's lives and cosmetic surgery can help reduce this.,0.943026071,train
71,a lack of control means there is nobody to step in if it goes wrong,0.670776465,train
